Sr no,Country,Area (ha),No of trees,Longitude,Latitude,Google Maps Link
1116,Indonesia,24473,3181490,112.3780029,0.7290002909,"https://www.google.com/maps?q=0.729000290929283,112.378002881203"
1117,Indonesia,6308,820040,112.3914679,0.4966799114,"https://www.google.com/maps?q=0.496679911412565,112.391467906337"
1118,Indonesia,16377,2129010,111.9399289,0.5235723262,"https://www.google.com/maps?q=0.523572326201448,111.939928867115"
1119,Indonesia,15967,2075710,111.9677694,0.4182482052,"https://www.google.com/maps?q=0.418248205187362,111.967769397072"
1120,Indonesia,7789,1012570,111.8702741,0.3518008438,"https://www.google.com/maps?q=0.351800843781541,111.87027410624"
1121,Indonesia,16945,2202850,110.4660966,-1.571888802,"https://www.google.com/maps?q=-1.57188880225051,110.466096618863"
1122,Indonesia,20173,2622490,112.0588432,0.5681297595,"https://www.google.com/maps?q=0.568129759486901,112.058843169837"
1123,Indonesia,15445,2007850,111.9171587,0.9736140285,"https://www.google.com/maps?q=0.973614028454218,111.917158722481"
1124,Indonesia,20246,2631980,111.8247778,0.8780113839,"https://www.google.com/maps?q=0.878011383911565,111.824777812527"
1125,Indonesia,19941,2592330,111.7511152,0.4083656489,"https://www.google.com/maps?q=0.408365648875478,111.751115222448"
1126,Indonesia,22586,2936180,111.8235299,0.7654230823,"https://www.google.com/maps?q=0.765423082328178,111.823529924781"
1127,Indonesia,20033,2604290,111.8083796,0.5124515882,"https://www.google.com/maps?q=0.51245158819043,111.808379609193"
1128,Indonesia,5928,770640,109.1341194,1.511084189,"https://www.google.com/maps?q=1.51108418889219,109.134119398902"
1129,Indonesia,6111,794430,110.4390745,-1.866919971,"https://www.google.com/maps?q=-1.86691997140197,110.439074493329"
1130,Indonesia,5166,671580,110.3659552,-1.852467918,"https://www.google.com/maps?q=-1.85246791849575,110.365955155821"
1131,Indonesia,10525,1368250,110.5312246,-2.32578068,"https://www.google.com/maps?q=-2.32578067984381,110.531224621461"
1132,Indonesia,10953,1423890,109.9049839,-0.1911568343,"https://www.google.com/maps?q=-0.191156834329767,109.904983872071"
1133,Indonesia,18375,2388750,109.5470102,0.6812787132,"https://www.google.com/maps?q=0.681278713192524,109.547010204405"
1134,Indonesia,5517,717210,109.6584441,0.5495233262,"https://www.google.com/maps?q=0.549523326185255,109.658444051435"
1135,Indonesia,8650,1124500,111.8321521,0.6084698413,"https://www.google.com/maps?q=0.608469841303627,111.832152132796"
1136,Indonesia,7908,1028040,111.6853851,0.8970511687,"https://www.google.com/maps?q=0.897051168704407,111.685385080375"
